iter	Passed	Remaining
0	58	58824
1	59	29602
2	59	19877
3	60	15004
4	60	12051
5	60	10084
6	61	8673
7	61	7640
8	62	6879
9	62	6222
10	63	5686
11	63	5256
12	64	4872
13	64	4541
14	64	4258
15	65	4005
16	65	3792
17	65	3594
18	66	3417
19	66	3256
20	66	3112
21	67	2985
22	67	2869
23	67	2763
24	68	2678
25	69	2593
26	70	2523
27	70	2452
28	71	2384
29	71	2314
30	71	2246
31	72	2186
32	72	2137
33	73	2085
34	74	2042
35	75	2010
36	75	1967
37	76	1926
38	76	1889
39	77	1848
40	77	1812
41	77	1774
42	78	1740
43	78	1707
44	79	1680
45	79	1652
46	79	1621
47	80	1594
48	80	1569
49	81	1547
50	82	1528
51	82	1503
52	83	1484
53	83	1463
54	84	1443
55	84	1424
56	84	1404
57	85	1385
58	85	1367
59	86	1349
60	86	1330
61	86	1314
62	87	1299
63	87	1286
64	88	1271
65	88	1256
66	89	1242
67	89	1224
68	89	1212
69	90	1199
70	90	1186
71	90	1172
72	91	1158
73	91	1149
74	92	1139
75	92	1128
76	93	1117
77	93	1105
78	94	1098
79	94	1088
80	94	1077
81	95	1067
82	95	1056
83	96	1047
84	96	1036
85	96	1029
86	96	1017
87	97	1008
88	97	998
89	97	990
90	99	989
91	99	982
92	99	975
93	100	967
94	100	958
95	100	950
96	101	945
97	102	938
98	102	931
99	102	925
100	103	919
101	103	910
102	103	903
103	104	899
104	104	894
105	105	887
106	105	883
107	106	879
108	106	873
109	107	867
110	107	861
111	107	855
112	108	850
113	108	844
114	108	838
115	109	833
116	109	829
117	110	824
118	110	818
119	111	814
120	111	809
121	111	805
122	112	798
123	112	793
124	114	800
125	114	796
126	115	794
127	115	787
128	116	784
129	116	781
130	117	776
131	117	772
132	117	768
133	118	765
134	119	763
135	120	762
136	120	758
137	120	752
138	121	754
139	122	750
140	122	748
141	123	744
142	123	740
143	123	736
144	124	734
145	124	730
146	125	727
147	125	724
148	126	720
149	126	716
150	126	713
151	127	712
152	128	710
153	128	706
154	128	703
155	129	700
156	129	697
157	130	694
158	130	690
159	131	688
160	131	685
161	132	683
162	132	680
163	133	678
164	133	675
165	134	674
166	134	672
167	135	669
168	135	666
169	136	665
170	137	665
171	137	663
172	138	660
173	138	658
174	138	654
175	139	652
176	139	649
177	140	646
178	140	643
179	140	641
180	141	638
181	141	635
182	141	632
183	142	630
184	142	628
185	143	626
186	143	623
187	143	621
188	144	619
189	144	616
190	144	613
191	145	612
192	146	610
193	146	609
194	147	606
195	147	605
196	148	603
197	148	601
198	148	599
199	149	597
200	149	595
201	150	594
202	151	592
203	151	591
204	152	590
205	152	588
206	153	586
207	153	585
208	154	583
209	154	580
210	154	579
211	155	577
212	155	575
213	156	574
214	156	572
215	157	570
216	158	570
217	158	568
218	158	566
219	159	565
220	159	563
221	160	561
222	160	558
223	160	556
224	161	554
225	161	552
226	161	551
227	162	549
228	162	547
229	163	546
230	163	545
231	164	543
232	164	542
233	165	541
234	165	540
235	166	537
236	166	536
237	167	534
238	167	532
239	167	530
