iter	Passed	Remaining
0	1	1279
1	1	906
2	2	863
3	2	731
4	3	692
5	4	671
6	4	618
7	4	602
8	5	573
9	6	600
10	7	666
11	8	663
12	8	633
13	8	607
14	8	585
15	9	565
16	9	548
17	9	532
18	10	518
19	10	505
20	10	493
21	10	483
22	11	472
23	11	463
24	11	454
25	11	446
26	12	449
27	13	454
28	13	453
29	14	465
30	14	463
31	15	460
32	15	466
33	16	463
34	17	469
35	17	465
36	18	469
37	18	474
38	19	475
39	19	470
40	20	471
41	20	470
42	21	471
43	21	468
44	22	469
45	22	470
46	23	467
47	23	471
48	24	472
49	25	478
50	25	482
51	26	478
52	27	484
53	27	481
54	27	480
55	28	479
56	28	477
57	29	475
58	30	493
59	31	492
60	31	490
61	33	502
62	34	510
63	35	512
64	35	511
65	36	510
66	36	508
67	37	509
68	37	507
69	38	505
70	38	503
71	38	502
72	39	499
73	40	502
74	40	501
75	41	500
76	41	498
77	42	498
78	42	496
79	42	494
80	43	492
81	43	490
82	44	486
83	44	484
84	44	484
85	45	486
86	46	485
87	46	483
88	47	481
89	47	481
90	48	480
91	48	479
92	49	478
93	49	478
94	50	478
95	50	477
96	51	478
97	51	476
98	52	477
99	52	476
100	53	474
101	53	473
102	54	471
103	54	469
104	55	469
105	55	470
106	56	470
107	56	469
108	57	468
109	57	468
110	58	467
111	58	465
112	59	465
113	59	466
114	60	467
115	61	466
116	61	465
117	62	465
118	62	464
119	63	466
120	64	465
121	64	464
122	64	463
123	65	462
124	65	461
125	66	460
126	66	458
127	67	459
128	68	459
129	68	458
130	69	460
131	70	461
132	70	460
133	70	458
134	71	457
135	71	456
136	72	456
137	72	454
138	73	454
139	73	453
140	74	451
141	74	449
142	74	448
143	75	447
144	75	445
145	76	445
146	76	445
147	77	444
148	77	443
149	78	443
150	78	443
151	79	442
152	79	441
153	80	441
154	80	441
155	81	439
156	81	439
157	82	437
158	82	436
159	83	436
160	83	434
161	84	435
162	84	434
163	85	434
164	85	433
165	86	434
166	86	433
167	87	433
168	88	434
169	88	434
170	89	432
171	89	432
172	90	430
173	90	429
174	91	432
175	92	430
176	92	431
177	93	431
178	94	431
179	94	430
180	95	430
181	95	429
182	97	433
183	97	432
184	98	432
185	98	430
186	98	429
187	99	429
188	99	428
189	100	428
190	101	427
191	101	426
192	102	427
193	102	427
194	103	425
195	103	425
196	104	424
197	104	422
198	104	421
199	105	422
200	105	421
201	106	420
202	106	419
203	107	419
204	107	418
205	108	417
206	109	418
207	109	417
208	110	417
209	110	416
210	111	415
211	111	414
212	111	413
213	112	412
214	112	411
215	112	410
216	113	408
217	113	408
218	114	408
219	114	406
220	115	406
221	116	406
222	116	406
223	118	411
224	119	409
225	119	408
226	119	407
227	119	406
228	120	404
229	120	403
230	120	401
231	121	400
232	121	401
233	122	400
234	122	398
235	122	397
236	123	397
237	124	398
238	124	397
239	125	396
240	125	395
241	126	395
242	129	403
243	129	402
244	130	400
245	130	401
246	131	401
247	132	400
248	132	399
249	133	399
250	133	399
251	134	399
252	134	398
253	135	398
254	136	398
255	136	397
256	137	396
257	137	395
258	138	395
259	138	394
260	138	393
261	139	392
262	139	391
263	140	390
264	140	389
265	140	388
266	141	387
267	141	386
268	142	385
269	142	385
270	142	384
271	143	382
272	143	381
273	143	380
274	143	379
275	144	378
276	144	376
277	144	375
278	144	374
279	145	374
280	146	374
281	146	373
282	147	373
283	147	372
284	148	371
285	148	370
286	148	369
287	149	369
288	149	368
289	150	368
290	151	368
291	151	367
292	151	366
293	152	365
294	152	365
295	153	364
296	153	364
297	154	363
298	154	362
299	156	364
300	156	363
301	156	362
302	157	362
303	158	362
304	158	362
305	159	362
306	160	361
307	160	361
308	161	360
309	161	360
310	162	359
311	162	358
312	162	357
313	163	356
314	163	356
315	164	355
316	164	355
317	165	354
318	166	354
319	166	353
320	167	353
321	167	353
322	168	352
323	168	351
324	169	351
325	169	350
326	170	350
327	170	350
328	171	349
329	171	348
330	172	348
331	173	349
332	174	348
333	174	348
334	175	347
335	175	347
336	176	346
337	176	345
338	177	345
339	177	344
340	177	343
341	178	343
342	178	342
343	179	341
344	179	341
345	180	340
346	180	339
347	180	339
348	181	338
349	182	338
350	182	338
351	183	337
352	183	336
353	184	335
354	184	335
355	185	334
356	185	334
357	186	333
358	186	333
359	187	333
360	187	332
361	188	332
362	189	332
363	190	332
364	190	331
365	191	331
366	191	330
367	192	329
368	192	329
369	192	328
370	193	327
371	193	327
372	194	326
373	194	325
374	195	325
375	195	324
376	195	323
377	196	323
378	196	322
379	198	323
380	198	322
381	199	321
382	199	321
383	199	320
384	200	319
385	200	319
386	201	318
387	201	317
388	201	317
389	202	316
390	202	315
391	203	315
392	203	314
393	204	314
394	205	314
395	205	313
396	206	313
397	206	312
398	207	312
399	207	311
400	208	310
401	208	310
402	208	309
403	209	309
404	210	308
405	210	308
406	211	307
407	211	306
408	212	306
409	212	306
410	213	305
411	213	305
412	214	304
413	215	304
414	215	304
415	216	303
416	216	303
417	217	302
418	217	301
419	218	301
420	218	300
421	219	300
422	219	299
423	220	299
424	220	298
425	221	297
426	221	297
427	221	296
428	222	296
429	222	295
430	223	294
431	223	294
432	224	293
433	224	292
434	224	292
435	225	291
436	225	291
437	226	290
438	227	290
439	227	289
440	228	289
441	228	288
442	229	288
443	229	287
444	229	286
445	230	286
446	230	285
447	231	284
448	231	284
449	231	283
450	232	282
451	232	282
452	233	281
453	233	281
454	234	280
455	234	280
456	235	279
457	235	279
458	236	278
459	236	277
460	237	277
461	237	276
462	238	276
463	238	275
464	238	274
465	239	274
466	240	274
467	240	273
468	241	272
469	241	272
